encounter_id,zone_id,map_name_index,zone_map_name,pokedex_area_index,pokedex_area_name,encounter_size,seasonal_blocks,sha1,differs_black_white,area_assignment_basis
29,180,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
30,181,35,Relic Castle,21,Relic Castle,232,1,54c2095997dbd7bed6a891ffb0b801ebeee91531,0,zone map name exact
31,182,35,Relic Castle,21,Relic Castle,232,1,54c2095997dbd7bed6a891ffb0b801ebeee91531,0,zone map name exact
32,183,35,Relic Castle,21,Relic Castle,232,1,b625ccefddb7897b9d7cda3625d0fc3b3226f1d7,0,zone map name exact
33,184,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
34,185,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
35,186,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
36,187,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
37,188,35,Relic Castle,21,Relic Castle,232,1,f8a6b7c3df11b87d1e9a0925ee5a0af0a9b3d528,0,zone map name exact
38,189,35,Relic Castle,21,Relic Castle,232,1,df5d8f7a83a691085bbdf4f324a7b3082a036c4d,0,zone map name exact
39,190,35,Relic Castle,21,Relic Castle,232,1,df5d8f7a83a691085bbdf4f324a7b3082a036c4d,0,zone map name exact
40,191,36,Cold Storage,22,Cold Storage,232,1,4cc45cd429350e97785dbeb7bd9b2a7152e9a012,0,zone map name exact
41,195,37,Chargestone Cave,23,Chargestone Cave,232,1,5fd7a14c0e1b72e83711ad600ac5488bed539c01,0,zone map name exact
42,196,37,Chargestone Cave,23,Chargestone Cave,232,1,b6e5bdc4a19b0967a9495836f086a37630f1f0e1,0,zone map name exact
43,197,37,Chargestone Cave,23,Chargestone Cave,232,1,6628da4c25c9a2c32262a4c48c8a3ca5452d636d,0,zone map name exact
44,200,38,Twist Mountain,24,Twist Mountain,928,4,8429370a54c20699b1412d91fde1e567701f4d61,0,zone map name exact
45,201,38,Twist Mountain,24,Twist Mountain,928,4,8429370a54c20699b1412d91fde1e567701f4d61,0,zone map name exact
46,202,38,Twist Mountain,24,Twist Mountain,928,4,8429370a54c20699b1412d91fde1e567701f4d61,0,zone map name exact
47,203,38,Twist Mountain,24,Twist Mountain,928,4,8429370a54c20699b1412d91fde1e567701f4d61,0,zone map name exact
48,205,39,Dragonspiral Tower,25,Dragonspiral Tower,928,4,c7971c466db61fd842204d79d1d861b09ec22e65,0,zone map name exact
49,206,39,Dragonspiral Tower,25,Dragonspiral Tower,928,4,d7fd5d74680e7314087c4744986be6f0703822fc,1,zone map name exact
50,207,39,Dragonspiral Tower,25,Dragonspiral Tower,232,1,dca6be5eb53b8ccef108dc85b834ef79908269a7,0,zone map name exact
51,208,39,Dragonspiral Tower,25,Dragonspiral Tower,232,1,f01f4c1987672ea5ef2a6663ce42d820752b33a3,0,zone map name exact
52,214,40,Victory Road,26,Victory Road,232,1,8a04afe2caf1fa79e193fca456a8ecb17f984bfd,1,zone map name exact
53,215,40,Victory Road,26,Victory Road,232,1,e7ba8ef60ec3e34bc32bf4cb96648c04cb5f6406,1,zone map name exact
54,216,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
55,217,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
56,218,40,Victory Road,26,Victory Road,232,1,d667c2f647594040a8620b1fd80b9cd72398d4b6,0,zone map name exact
57,219,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
58,220,40,Victory Road,26,Victory Road,232,1,e7ba8ef60ec3e34bc32bf4cb96648c04cb5f6406,1,zone map name exact
59,221,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
60,222,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
61,223,40,Victory Road,26,Victory Road,232,1,9933db9d79a99ce8f596b2750afc9db08a2bf56e,0,zone map name exact
62,224,40,Victory Road,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name exact
63,225,40,Victory Road,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name exact
64,226,40,Victory Road,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name exact
65,227,40,Victory Road,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name exact
66,228,40,Victory Road,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name exact
67,229,73,Trial Chamber,26,Victory Road,232,1,ed87dd12bbbef2fa10520f2b2f897f70b1276eed,0,zone map name alias
68,230,61,Giant Chasm,27,Giant Chasm,232,1,a1b67333a81c5c289392ea7166ef42021f1c2886,0,zone map name exact
69,231,61,Giant Chasm,27,Giant Chasm,232,1,3ea43942395018ac0911dda9f5a2a54d4d6f7988,1,zone map name exact
70,232,61,Giant Chasm,27,Giant Chasm,232,1,98766bda8a940049af4bb7ca12501b71629d9c11,0,zone map name exact
71,234,61,Giant Chasm,27,Giant Chasm,232,1,155d06b56c6608610d0c53525eab1fca5bfbad66,1,zone map name exact
72,238,63,P2 Laboratory,29,P2 Laboratory,232,1,e885d8bcaf4002f372bec9940490302f9b6d00bb,0,zone map name exact
73,240,71,Undella Bay,36,Undella Bay,928,4,1f095c2e1af7df73d3ffdfd8da51d1ef10d69cbe,0,zone map name exact
74,253,65,Driftveil Drawbridge,57,Driftveil Drawbridge,232,1,fd28e06938d8c4e22ca2fc507b679e9cb94ee6c8,0,zone map name exact
75,255,67,Village Bridge,59,Village Bridge,232,1,dcad691c287816cdcc565596daf01933c9d45ff9,1,zone map name exact
76,263,68,Marvelous Bridge,60,Marvelous Bridge,232,1,a41728c076bc1cca6831f3a752a6316e7a46fd8f,0,zone map name exact
77,317,14,Route 1,38,Route 1,232,1,df793cbf95858c80fa85e450d700e18279fb473d,1,zone map name exact
78,319,15,Route 2,39,Route 2,232,1,42be8f468495d2807015631b177086dab76680b3,0,zone map name exact
79,321,16,Route 3,40,Route 3,232,1,f8d4ab943aba4bd3c9fd6173210d795c9ff4cd61,1,zone map name exact
80,324,53,Wellspring Cave,30,Wellspring Cave,232,1,c4f337e440d5aeac58cc0d3bed81d21501741da9,1,zone map name exact
81,325,53,Wellspring Cave,30,Wellspring Cave,232,1,c4f337e440d5aeac58cc0d3bed81d21501741da9,1,zone map name exact
82,326,17,Route 4,41,Route 4,232,1,16092b7f3592f3bf1af54410a8372873de3dbfcc,1,zone map name exact
83,329,18,Route 5,42,Route 5,232,1,cffc2b30a50fc12c63d0a4da62ea183a5129fdb1,1,zone map name exact
84,331,19,Route 6,43,Route 6,928,4,19ae9e6eae77dc0d9d6268ae8c46a95cbfdf9e4a,1,zone map name exact
85,333,54,Mistralton Cave,31,Mistralton Cave,232,1,b0da01068c511bbb2323ebdba9aa8f0801ed5085,0,zone map name exact
86,334,54,Mistralton Cave,31,Mistralton Cave,232,1,b0da01068c511bbb2323ebdba9aa8f0801ed5085,0,zone map name exact
87,335,74,Guidance Chamber,31,Mistralton Cave,232,1,b0da01068c511bbb2323ebdba9aa8f0801ed5085,0,zone map name alias
88,337,20,Route 7,44,Route 7,928,4,7a378c4d77793052ed2fbbdcb45262aef2124d87,0,zone map name exact
89,339,56,Celestial Tower,33,Celestial Tower,232,1,a2d93e56058cc2184feb360d57c4c02ee9812425,0,zone map name exact
90,340,56,Celestial Tower,33,Celestial Tower,232,1,c348c8e595cffd1d2e573a49a559f9b695a077ee,0,zone map name exact
91,341,56,Celestial Tower,33,Celestial Tower,232,1,29f88b67885da2a453a4b5cd61bdd9a6bb559746,0,zone map name exact
92,342,56,Celestial Tower,33,Celestial Tower,232,1,5a69f895ea69b424999ed6034e415b5a5e5192a6,0,zone map name exact
93,345,21,Route 8,45,Route 8,928,4,a472acf8e5e8737bf5d75573e6444edf9aa2c422,0,zone map name exact
94,346,57,Moor of Icirrus,34,Moor of Icirrus,928,4,a472acf8e5e8737bf5d75573e6444edf9aa2c422,0,zone map name exact
95,348,22,Route 9,46,Route 9,232,1,2e646fd431b6cae5440f359ce1e0030bbf3eefe4,1,zone map name exact
96,352,59,Challenger's Cave,32,Challenger's Cave,232,1,e4c23e0db22469bff8a4d0744548a3925c36fb8a,0,zone map name exact
97,353,59,Challenger's Cave,32,Challenger's Cave,232,1,fcc69c05b189ceaec1aea8f4719e4ff391c9711c,0,zone map name exact
98,354,59,Challenger's Cave,32,Challenger's Cave,232,1,8e91c72c152a9e061bed72e4fd2c2c0c2d4f407a,1,zone map name exact
99,355,23,Route 10,47,Route 10,232,1,b52a81a9a8a22f90e3fae91926743ad718bcef83,1,zone map name exact
100,358,23,Route 10,47,Route 10,232,1,dc4dccb14fce16d74b646dd3b36f08245be8a98d,1,zone map name exact
101,365,24,Route 11,48,Route 11,232,1,e574c25376b3f712bd05fdc74d1f6b45d8320de7,1,zone map name exact
102,368,25,Route 12,49,Route 12,232,1,00c13492782820f106354e2532f6cc2200fb3ba9,1,zone map name exact
103,370,26,Route 13,50,Route 13,232,1,428892c5b04ba67d31c76b1ed25bced4d429a781,0,zone map name exact
104,374,27,Route 14,51,Route 14,232,1,f78efe75ef323d189f1ff9d8f1621bf2dc1ff8b3,1,zone map name exact
105,376,70,Abundant Shrine,35,Abundant Shrine,232,1,2014562b06e917049d72139752f4855f0eb0ec42,1,zone map name exact
106,378,28,Route 15,52,Route 15,232,1,e1eb041d37a8de37fa5c5eb8aaa2e9313737811f,1,zone map name exact
107,383,29,Route 16,53,Route 16,232,1,cffc2b30a50fc12c63d0a4da62ea183a5129fdb1,1,zone map name exact
108,385,72,Lostlorn Forest,37,Lostlorn Forest,232,1,cb75e6853bf2ac3c07cca829e81370b91a4eccd2,1,zone map name exact
109,387,31,Route 18,55,Route 18,232,1,fd3b32665521433de53820d890bb77566d759dbf,1,zone map name exact
110,412,42,Undella Town,12,Undella Town,232,1,04a89d0d266f10942932f11f66fa3aa37152d012,0,zone map name exact
111,423,30,Route 17,54,Route 17,232,1,97c9f155e4f841e29277f610127ce56313f6d2bb,0,zone map name exact
