path,black_file_id,white_file_id,black_size,white_size,black_members,white_members,archive_equal,different_member_count,different_member_indexes
a/0/9/0,332,332,7108,7108,1,1,true,0,
a/0/9/1,333,333,1292,1292,1,1,true,0,
a/0/9/2,334,334,17296,17296,616,616,true,0,
a/0/9/3,335,335,17144,17144,616,616,true,0,
a/0/9/4,336,336,312980,312980,53,53,true,0,
a/0/9/5,337,337,1916912,1916912,165,165,true,0,
a/0/9/6,338,338,52720,52720,42,42,true,0,
a/0/9/7,339,339,25232,25232,2,2,true,0,
a/0/9/8,340,340,12676,12676,10,10,true,0,
a/0/9/9,341,341,12348,12348,17,17,true,0,
a/1/0/0,342,342,17712,17712,20,20,true,0,
a/1/0/1,343,343,732,732,1,1,true,0,
a/1/0/2,344,344,75088,75088,31,31,true,0,
a/1/0/3,345,345,1883984,1883984,64,64,true,0,
a/1/0/4,346,346,257708,257708,13,13,true,0,
a/1/0/5,347,347,5736,5736,29,29,true,0,
a/1/0/6,348,348,22864,22864,20,20,true,0,
a/1/0/7,349,349,155952,155952,39,39,true,0,
a/1/0/8,350,350,10228,10228,282,282,true,0,
a/1/0/9,351,351,256,256,17,17,true,0,
a/1/1/0,352,352,33440,33440,2,2,true,0,
a/1/1/1,353,353,25144,25144,6,6,true,0,
a/1/1/2,354,354,23876,23876,6,6,true,0,
a/1/1/3,355,355,24000,24000,6,6,true,0,
a/1/1/4,356,356,23876,23876,6,6,true,0,
a/1/1/5,357,357,2878656,2878656,183,183,true,0,
a/1/1/6,358,358,92312,92312,79,79,true,0,
a/1/1/7,359,359,2384,2384,53,53,true,0,
a/1/1/8,360,360,22348,22348,11,11,true,0,
a/1/1/9,361,361,832,832,9,9,true,0,
a/1/2/0,362,362,50508,50508,5,5,true,0,
a/1/2/1,363,363,62356,62356,23,23,true,0,
a/1/2/2,364,364,31264,31264,15,15,true,0,
a/1/2/3,365,365,13140,13140,650,650,true,0,
a/1/2/4,366,366,56196,56196,29,29,true,0,
a/1/2/5,367,367,131304,131304,428,428,true,0,
a/1/2/6,368,368,35284,35284,112,112,false,29,0;5;6;49;52;53;58;69;71;75;77;79;80;81;82;83;84;95;98;99;100;101;102;104;105;106;107;108;109
a/1/2/7,369,369,50012,50012,7,7,true,0,
a/1/2/8,370,370,56992,56992,8,8,true,0,
a/1/2/9,371,371,465644,465644,12,12,true,0,
a/1/3/0,372,372,113136,113136,36,36,true,0,
a/1/3/1,373,373,693020,693020,69,69,true,0,
a/1/3/2,374,374,292,292,5,5,true,0,
a/1/3/3,375,375,52652,52652,12,12,true,0,
a/1/3/4,376,376,19509524,19509524,670,670,true,0,
a/1/3/5,377,377,37260,37260,28,28,true,0,
a/1/3/6,378,378,548,548,31,31,true,0,
a/1/3/7,379,379,160984,160984,108,108,true,0,
a/1/3/8,380,380,26132,26132,8,8,true,0,
a/1/3/9,381,381,52420,52420,12,12,true,0,
a/1/4/0,382,382,93668,93668,7,7,true,0,
a/1/4/1,383,383,22192,22192,14,14,true,0,
a/1/4/2,384,384,342860,342860,39,39,true,0,
a/1/4/3,385,385,152488,152488,28,28,true,0,
a/1/4/4,386,386,134516,134516,24,24,true,0,
a/1/4/5,387,387,43456,43456,8,8,true,0,
a/1/4/6,388,388,412,412,10,10,true,0,
a/1/4/7,389,389,192,192,3,3,true,0,
a/1/4/8,390,390,110800,110800,18,18,true,0,
a/1/4/9,391,391,92,92,1,1,true,0,
a/1/5/0,392,392,407364,407364,32,32,true,0,
a/1/5/1,393,393,109252,109252,12,12,true,0,
a/1/5/2,394,394,3740,3740,3,3,true,0,
a/1/5/3,395,395,60708,60708,9,9,true,0,
a/1/5/4,396,396,3996,3996,37,37,true,0,
a/1/5/5,397,397,46844,46844,48,48,true,0,
a/1/5/6,398,398,149164,149164,46,46,true,0,
a/1/5/7,399,399,51428,51428,26,26,true,0,
a/1/5/8,400,400,1100,1100,5,5,true,0,
a/1/5/9,401,401,535720,535720,113,113,true,0,
a/1/6/0,402,402,11699360,11699360,252,252,true,0,
a/1/6/1,403,403,3852,3852,5,5,true,0,
a/1/6/2,404,404,71316,71316,19,19,true,0,
a/1/6/3,405,405,416,416,7,7,true,0,
a/1/6/4,406,406,11596,11596,5,5,true,0,
a/1/6/5,407,407,1560,1560,13,13,true,0,
a/1/6/6,408,408,448,448,9,9,true,0,
a/1/6/7,409,409,76604,76604,655,655,true,0,
a/1/6/8,410,410,37160,37160,315,315,true,0,
a/1/6/9,411,411,22876,22876,951,951,true,0,
a/1/7/0,412,412,274724,274724,37,37,true,0,
a/1/7/1,413,413,44400,44400,14,14,true,0,
a/1/7/2,414,414,244544,244544,27,27,true,0,
a/1/7/3,415,415,32860,32860,35,35,true,0,
a/1/7/4,416,416,3220,3220,24,24,true,0,
a/1/7/5,417,417,140,140,2,2,true,0,
a/1/7/6,418,418,1578480,1578480,52,52,true,0,
a/1/7/7,419,419,1135876,1135876,64,64,true,0,
a/1/7/8,420,420,168792,168792,649,649,false,26,10;11;13;14;197;199;366;367;428;429;537;538;545;546;547;548;573;574;575;576;577;578;626;627;628;629
a/1/7/9,421,421,3652,3652,50,50,true,0,
a/1/8/0,422,422,60792,60792,44,44,true,0,
a/1/8/1,423,423,138256,138256,35,35,true,0,
a/1/8/2,424,424,39072,39072,11,11,true,0,
a/1/8/3,425,425,186876,186876,28,28,true,0,
a/1/8/4,426,426,69508,69508,17,17,true,0,
a/1/8/5,427,427,84,84,2,2,true,0,
a/1/8/6,428,428,468,468,7,7,true,0,
a/1/8/7,429,429,109764,109764,12,12,true,0,
a/1/8/8,430,430,11056,11056,5,5,true,0,
a/1/8/9,431,431,35084,35084,11,11,true,0,
a/1/9/0,432,432,69356,69356,7,7,true,0,
a/1/9/1,433,433,20024,20024,9,9,true,0,
a/1/9/2,434,434,105128,105128,23,23,true,0,
a/1/9/3,435,435,20892,20892,14,14,true,0,
a/1/9/4,436,436,7876,7876,652,652,true,0,
a/1/9/5,437,437,14408,14408,14,14,true,0,
a/1/9/6,438,438,2608,2608,7,7,true,0,
a/1/9/7,439,439,152180,152180,8,8,true,0,
a/1/9/8,440,440,316,316,1,1,true,0,
a/1/9/9,441,441,5448,5448,11,11,true,0,
a/2/0/0,442,442,4312,4312,3,3,true,0,
a/2/0/1,443,443,39764,39764,8,8,true,0,
a/2/0/2,444,444,109020,109020,10,10,true,0,
a/2/0/3,445,445,11276,11276,4,4,true,0,
a/2/0/4,446,446,29092,29092,8,8,true,0,
a/2/0/5,447,447,291408,291408,40,40,true,0,
a/2/0/6,448,448,20228,20228,4,4,true,0,
a/2/0/7,449,449,58508,58508,1,1,true,0,
a/2/0/8,450,450,1228,1228,4,4,true,0,
a/2/0/9,451,451,916,916,1,1,true,0,
a/2/1/0,452,452,11928,11928,9,9,true,0,
a/2/1/1,453,453,4588,4588,1,1,true,0,
a/2/1/2,454,454,34708,34708,2,2,true,0,
a/2/1/3,455,455,3500,3500,8,8,true,0,
a/2/1/4,456,456,24052,24052,1000,1000,true,0,
a/2/1/5,457,457,41780,41780,315,315,true,0,
a/2/1/6,458,458,1353488,1353488,52,52,true,0,
a/2/1/7,459,459,9564,9564,2,2,true,0,
a/2/1/8,460,460,9516,9516,4,4,true,0,
a/2/1/9,461,461,66120,66120,10,10,true,0,
a/2/2/0,462,462,531688,531688,13,13,true,0,
a/2/2/1,463,463,23788,23788,7,7,true,0,
a/2/2/2,464,464,27956,27956,6,6,true,0,
a/2/2/3,465,465,12472,12472,13,13,true,0,
a/2/2/4,466,466,228,228,4,4,true,0,
a/2/2/5,467,467,1898452,1898452,151,151,true,0,
a/2/2/6,468,468,4367532,4367532,174,174,true,0,
a/2/2/7,469,469,556,556,1,1,true,0,
a/2/2/8,470,470,56140,56140,6,6,true,0,
a/2/2/9,471,471,4451172,4451172,52,52,true,0,
a/2/3/0,472,472,4602664,4602664,64,64,true,0,
a/2/3/1,473,473,1208900,1210248,73,73,false,2,1;63
a/2/3/2,474,474,708,708,1,1,true,0,
a/2/3/3,475,475,256,256,2,2,true,0,
a/2/3/4,476,476,5848,5848,3,3,true,0,
skb.narc,238,238,60336,60336,6,6,true,0,
soundstatus.narc,239,239,12164,12164,4,4,true,0,
titledemo.narc,240,240,227088,227088,20,20,true,0,
