id,scope,category,name,status,priority,notes
GENV-OW-002,BW/B2W2,graphics,Driftveil short-bridge black-tile error,candidate,low,Correct tile/occlusion geometry
GENV-OW-003,BW/B2W2,overworld,Icirrus Gym non-solid rocks,candidate,medium,Correct collision flags; verify intended trainer gating
GENV-AUD-001,BW/B2W2,audio,Underground music state lost after save/reset,candidate,medium,Persist or recompute pitch/tempo layer from map floor
GENV-AUD-002,BW/B2W2,audio,Music speed state leaks through Dig/Escape Rope,candidate,medium,Reset underground playback modifier on map transition
GENV-OW-004,BW/B2W2,graphics,Route 3 tall-grass grid misalignment,candidate,low,Correct map tile spacing/placement
GENV-AUD-003,BW/B2W2,audio,Surf music continues after item pickup transition,candidate,medium,Force field BGM reevaluation after dismount/item event
GENV-AUD-004,BW/B2W2,audio,Variable scoring state persists or fails after Fly/Teleport,candidate,medium,Recompute dynamic instrument layer from arrival coordinates
BW-OW-001,BW,overworld,Cafe Warehouse interaction collision/void oversight,candidate,low,Restrict interaction hitboxes to intended cabinets
BW-OW-002,BW,overworld,Dreamyard invisible wall,candidate,medium,Correct collision tile west of basement stairs
BW-OW-003,BW,graphics,Dust cloud graphical glitch,candidate,low,Reproduce and identify particle/tile invalidation defect
BW-OW-004,BW,overworld,Landing on person or item,candidate,high,Validate landing destination occupancy before placement
BW-OW-005,BW,overworld,Nacrene Gym bookcase oversight,candidate,low,Correct interaction/collision scripting
BW-OW-006,BW,overworld,Nimbasa shift glitch,candidate,high,Reproduce movement/event state desynchronization
BW-OW-007,BW,overworld,Opelucid Gym air walk,candidate,high,Correct movement/collision during gym mechanism state
BW-OW-008,BW,overworld,Opelucid Gym pedestal oversight,candidate,medium,Correct pedestal event/collision state
BW-OW-009,BW,graphics,Opelucid Gym shadowed tiles,candidate,low,Correct tile lighting/shadow metadata
BW-OW-010,BW,overworld,Opelucid Gym Surf oversight,candidate,high,Disallow invalid Surf activation/placement
BW-OW-011,BW,overworld,Relic Castle oversight,candidate,medium,Reproduce and localize map/script condition
BW-OW-012,BW,event,Village Bridge Sandwich Shop speech-bubble speaker mismatch,candidate,low,Bind bubble to requesting NPC
BW-OW-013,BW,overworld,Walking Trainer pathing glitch,candidate,medium,Handle blocked corner direction transition
BW-OW-014,BW,overworld,Weather removal via season clock change plus catch,candidate,medium,Reapply weather after RTC/season-derived state changes
BW-JP-BTL-001,BW Japanese,battle,Wellspring Cave all-fainted party,candidate,blocker,Regional path must guarantee at least one healthy party member after partner battle
BW-JP-OW-001,BW Japanese,overworld,Nimbasa Gym Trainer persists on coaster track,candidate,high,Correct defeated-trainer event flag/object removal
BW-JP-DATA-001,BW Japanese,data,TM67 Retaliate wrong Dark-type icon,candidate,low,Use Normal-type icon metadata
ROBUST-001,BW,robustness,Out-of-range species and glitch-species indices reachable under corrupted or modified state,candidate,high,Add defensive bounds checks without deleting preserved unused data
ROBUST-002,BW,robustness,Invalid party/box/menu state should fail safely,candidate,high,Replace crashes/softlocks with deterministic recovery paths
